#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
850.52204,100,338.627014
1.303579,100,339.014841
890.60377,100,339.386325
382.677286,100,340.690625
940.30667,100,341.061954
5.241389,100,341.467135
672.199652,100,341.846899
282.734137,100,342.234844
1.70657,100,342.59903
3.759367,100,343.030035
1.321747,100,343.396209
5.08153,100,343.762104
384.044712,100,344.126961
4.015045,100,344.494256
142.702511,100,344.86656
3.394419,100,345.24976
633.309766,100,345.619456
940.896502,100,345.999644
4.932771,100,346.404834
2.156166,100,346.800556
731.312349,100,347.172943
124.997132,100,347.564176
541.501131,100,347.941459
950.177593,100,348.313165
561.982649,100,349.54719
332.069072,100,349.921404
811.730184,100,350.284662
940.58193,100,350.642644
880.884384,100,351.001269
921.151639,100,351.343439
860.645022,100,351.692559
284.191043,100,352.080249
5.030134,100,352.471832
910.764811,100,352.847446
2.910282,100,353.244651
940.57718,100,353.609154
910.452231,100,353.969503
591.654671,100,354.342059
32.567009,100,354.696649
644.537776,100,355.067002
105.330161,100,355.468564
1.330991,100,355.83319
671.996861,100,356.219427
920.859992,100,356.591535
772.059356,100,357.917818
831.454348,100,358.281819
940.3025,100,362.079648
7.568703,100,362.471278
4.194863,100,362.876052
780.785839,100,363.267812
751.655659,100,363.653473
663.750254,100,364.03322
3.513974,100,364.42989
741.177916,100,364.800608
711.26583,100,365.190309
951.187525,100,365.558527
1.786688,100,365.923912
544.414876,100,366.312989
910.526691,100,366.698897
2.443202,100,367.069564
702.386153,100,367.432843
683.797452,100,367.798953
940.623103,100,368.165478
561.172582,100,368.54775
2.623612,100,368.933846
285.229887,100,370.197106
591.72605,100,370.55977
3.644133,100,370.945301
930.386531,100,371.325362
762.008417,100,371.709834
592.816961,100,372.100578
3.994081,100,372.495828
594.299664,100,372.87795
960.68046,100,373.260674
6.359468,100,373.658445
790.998025,100,374.036596
6.067143,100,374.411395
752.726326,100,374.782203
275.652103,100,375.163702
920.275693,100,375.519933
2.826727,100,375.912955
2.067761,100,376.30055
4.419836,100,376.708959
1.029256,100,377.093422
0.585784,100,377.476949
1.70721,100,378.726497
930.414364,100,379.092083
583.362094,100,379.482748
970.232819,100,379.833202
